196.52.43.126 - - [06/Feb/2018:04:13:44 -0500] "GET / HTTP/1.0" 200 11230
116.62.163.90 - - [06/Feb/2018:04:14:18 -0500] "GET /manager/html HTTP/1.1" 403 3420
116.62.163.90 - - [06/Feb/2018:04:54:07 -0500] "GET /manager/html HTTP/1.1" 403 3420
164.52.6.186 - - [06/Feb/2018:04:56:11 -0500] "-" 400 -
164.52.6.186 - - [06/Feb/2018:04:56:15 -0500] "GET / HTTP/1.1" 200 11250
142.252.251.228 - - [06/Feb/2018:08:16:25 -0500] "GET /?rands=_247520672033446705213700 HTTP/1.1" 200 11250
142.252.251.228 - - [06/Feb/2018:08:16:26 -0500] "GET /?rands=_219361527232220860908512 HTTP/1.1" 200 11250
142.252.251.228 - - [06/Feb/2018:08:16:29 -0500] "GET /?rands=_7585124581819811883959288 HTTP/1.1" 200 11250
107.170.227.152 - - [06/Feb/2018:08:42:31 -0500] "GET / HTTP/1.1" 200 11250
157.52.156.49 - - [06/Feb/2018:09:47:13 -0500] "GET /?rands=_129454084809651722299236 HTTP/1.0" 200 11230
157.52.156.49 - - [06/Feb/2018:09:47:13 -0500] "GET /vs.php?rands=_223021789617183103187856 HTTP/1.0" 404 1080
220.191.255.148 - - [06/Feb/2018:11:47:05 -0500] "GET /manager/html HTTP/1.1" 403 3420
157.52.156.49 - - [06/Feb/2018:11:48:30 -0500] "GET /vs.php?rands=_194745175236858783604560 HTTP/1.0" 404 1080
157.52.156.49 - - [06/Feb/2018:11:48:31 -0500] "GET /?rands=_7492456264641822457888 HTTP/1.0" 200 11230
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /tomcat.png HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /tomcat.css HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /bg-upper.png HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /bg-middle.png HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /bg-button.png HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:30 -0500] "GET /bg-nav.png HTTP/1.1" 304 -
45.112.202.46 - - [06/Feb/2018:12:15:32 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:15:34 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:15:34 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
45.112.202.46 - - [06/Feb/2018:12:15:37 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:15:37 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
45.112.202.46 - - [06/Feb/2018:12:17:19 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:17:19 -0500] "GET /tomcat.css HTTP/1.1" 200 5581
45.112.202.46 - - [06/Feb/2018:12:17:19 -0500] "GET /tomcat.png HTTP/1.1" 200 5103
45.112.202.46 - - [06/Feb/2018:12:17:22 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
45.112.202.46 - - [06/Feb/2018:12:17:22 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
45.112.202.46 - - [06/Feb/2018:12:17:22 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
45.112.202.46 - - [06/Feb/2018:12:17:23 -0500] "GET /bg-button.png HTTP/1.1" 200 713
45.112.202.46 - - [06/Feb/2018:12:17:23 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
45.112.202.46 - - [06/Feb/2018:12:17:25 -0500] "GET /host-manager/html HTTP/1.1" 403 3022
45.112.202.46 - - [06/Feb/2018:12:22:33 -0500] "GET /docs/setup.html HTTP/1.1" 200 14355
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/docs-stylesheet.css HTTP/1.1" 200 5780
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/tomcat.png HTTP/1.1" 200 5103
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/fonts/fonts.css HTTP/1.1" 200 1943
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/asf-logo.svg HTTP/1.1" 200 20486
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/fonts/OpenSans600.woff HTTP/1.1" 200 22604
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/fonts/OpenSans400.woff HTTP/1.1" 200 21956
45.112.202.46 - - [06/Feb/2018:12:22:34 -0500] "GET /docs/images/fonts/OpenSans700.woff HTTP/1.1" 200 22748
45.112.202.46 - - [06/Feb/2018:12:22:42 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:23:24 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:23:34 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:12:23:37 -0500] "GET /host-manager/html HTTP/1.1" 403 3022
45.112.202.46 - - [06/Feb/2018:12:32:30 -0500] "GET /host-manager/html HTTP/1.1" 403 3022
45.112.202.46 - - [06/Feb/2018:12:32:35 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:33:01 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:33:10 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:33:34 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:33:50 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:33:55 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:36:29 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:36:31 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:36:33 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:36:40 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:36:48 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:36:59 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:37:45 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:37:53 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:50:33 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:50:41 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:50:54 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:58:25 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:12:58:27 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:58:37 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:12:58:49 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - - [06/Feb/2018:13:06:45 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - - [06/Feb/2018:13:06:47 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - tomcat [06/Feb/2018:13:06:57 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - tomcat [06/Feb/2018:13:07:10 -0500] "GET /manager/html HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:13:07:13 -0500] "GET /host-manager/html HTTP/1.1" 403 3022
45.112.202.46 - - [06/Feb/2018:13:07:16 -0500] "GET / HTTP/1.1" 200 11250
45.112.202.46 - tomcat [06/Feb/2018:13:07:18 -0500] "GET /manager/status HTTP/1.1" 403 3420
45.112.202.46 - - [06/Feb/2018:13:12:47 -0500] "GET /manager/html HTTP/1.1" 401 2473
45.112.202.46 - tomcat [06/Feb/2018:13:13:02 -0500] "GET /manager/html HTTP/1.1" 200 18708
45.112.202.46 - - [06/Feb/2018:13:13:02 -0500] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20486
45.112.202.46 - - [06/Feb/2018:13:13:02 -0500] "GET /manager/images/tomcat.gif HTTP/1.1" 200 2066
